fips,region,type,category,time,rne,ose
49,Utah,Total,Total,1998,0.0034952629633305666,0.891975861173431
32,Nevada,Total,Total,1998,0.003750236739618906,0.66877911803766
53,Washington,Total,Total,1998,0.002282339824037318,1.0
41,Oregon,Total,Total,1998,0.004964542268432805,0.8762240718343254
06,California,Total,Total,1998,0.0032463458414998545,0.750000441387986
02,Alaska,Total,Total,1998,0.005400060927444829,0.7977005374551128
15,Hawaii,Total,Total,1998,0.0026002710328713345,0.9119062956408976
23,Maine,Total,Total,1999,0.003067630918384894,0.7218863170068742
33,New Hampshire,Total,Total,1999,0.0026175524550831565,0.8233151409459547
50,Vermont,Total,Total,1999,0.003802491358869586,0.7390607346362734
25,Massachusetts,Total,Total,1999,0.001213208323277859,0.5456956352132705
44,Rhode Island,Total,Total,1999,0.0013544066396783995,0.9004687018737508
09,Connecticut,Total,Total,1999,0.0026245026471384512,0.7361236641389036
36,New York,Total,Total,1999,0.002811819478090884,0.8776317630357889
34,New Jersey,Total,Total,1999,0.002452160314818809,0.8488346240979218
42,Pennsylvania,Total,Total,1999,0.0015190128494471048,0.9738258302162612
39,Ohio,Total,Total,1999,0.0028996956336013245,0.8168402495418902
18,Indiana,Total,Total,1999,0.00376045817853693,0.9205417202238094
17,Illinois,Total,Total,1999,0.002196934862155757,0.9594178610969911
26,Michigan,Total,Total,1999,0.002470929795836399,0.8674757685329952
55,Wisconsin,Total,Total,1999,0.001574374355386335,0.9090559910686772
27,Minnesota,Total,Total,1999,0.0025995621872643,0.8962676373589809
19,Iowa,Total,Total,1999,0.002786240658169498,0.8276877355650741
29,Missouri,Total,Total,1999,0.0016354945707767955,1.0
38,North Dakota,Total,Total,1999,0.003666342320643063,0.8811126505557307
46,South Dakota,Total,Total,1999,0.003156164344978425,0.8367097242589241
31,Nebraska,Total,Total,1999,0.002217089911062317,0.9331070611075535
20,Kansas,Total,Total,1999,0.0025078420656024342,0.8858880935444193
10,Delaware,Total,Total,1999,0.0010830272999724766,1.0
24,Maryland,Total,Total,1999,0.0031468128016767646,0.8613337427167616
11,District of Columbia,Total,Total,1999,0.001567240415235617,0.412822357035648
51,Virginia,Total,Total,1999,0.00176077103418107,0.877351783304353
54,West Virginia,Total,Total,1999,0.0018105653435274466,0.7858497857816799
37,North Carolina,Total,Total,1999,0.002965968507938281,0.9068941887655639
45,South Carolina,Total,Total,1999,0.00218481568153572,0.9149665996017257
13,Georgia,Total,Total,1999,0.0025844685602105736,0.8084212413883941
12,Florida,Total,Total,1999,0.0028673118653423967,0.8295280404786399
21,Kentucky,Total,Total,1999,0.0018177966550933565,1.0
47,Tennessee,Total,Total,1999,0.0023639828883558972,0.8975645860946443
01,Alabama,Total,Total,1999,0.001960095977624095,0.8700751616841216
28,Mississippi,Total,Total,1999,0.0034886707786493743,0.8554327379884559
05,Arkansas,Total,Total,1999,0.0028753550682819253,0.789579298844502
22,Louisiana,Total,Total,1999,0.0029304412523115863,0.860875843519947
40,Oklahoma,Total,Total,1999,0.0028203241999589235,0.9175871264853616
48,Texas,Total,Total,1999,0.0027436398803839957,0.8129147787188814
30,Montana,Total,Total,1999,0.00421622491911841,0.8013309237847351
16,Idaho,Total,Total,1999,0.003791252877409855,0.6800715138687522
56,Wyoming,Total,Total,1999,0.005139385140242333,0.8054308614653265
08,Colorado,Total,Total,1999,0.0036709142278626154,0.8331965720947129
35,New Mexico,Total,Total,1999,0.004608570889390901,0.8158506914917537
04,Arizona,Total,Total,1999,0.0019439505660588856,0.8635017457010998
49,Utah,Total,Total,1999,0.0026109835398525107,0.8354999621606773
32,Nevada,Total,Total,1999,0.0019056407151367962,0.5465245807608673
53,Washington,Total,Total,1999,0.0030528501274514883,0.8684720339206609
41,Oregon,Total,Total,1999,0.004046827173282031,0.7886452897010531
06,California,Total,Total,1999,0.0036291262933123665,0.765220563952358
02,Alaska,Total,Total,1999,0.004400298733898567,0.6369062776588802
15,Hawaii,Total,Total,1999,0.0030489877481847906,0.5963981632867901
23,Maine,Total,Total,2000,0.003269024285736034,0.9049279952722785
33,New Hampshire,Total,Total,2000,0.0022094486997776223,0.9140870960581348
50,Vermont,Total,Total,2000,0.0038532831405432718,0.8951728039342162
25,Massachusetts,Total,Total,2000,0.0015100292523970197,0.947300718900503
44,Rhode Island,Total,Total,2000,0.0012434131365708662,0.7213557618434953
09,Connecticut,Total,Total,2000,0.002219509868588338,0.8476529535659503
