region,demographic-type,demographic,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
00,Age,Ages 20-34,,,0.7777684269324392,0.7900287116940289,0.8149587925740098,0.831687077056248,0.8034456215995055,0.7733945928300309,0.7556460577162715,0.765699188922071,0.7755825084845905,0.7728975269025828,0.7709922948890507,0.7410876315759584,0.7177365049825607,0.7021629257105797,0.7316049438210511,0.7440439159271995,0.7607239298400205,0.7687394683414722,0.7998870847850116,0.8235736335623463,0.8316740701130668,0.8389559076957015,0.799501514813801,0.7954406667133015
00,Age,Ages 35-44,,,0.795751999083966,0.8089933254697295,0.8311721999874649,0.8234577868541629,0.786889637258207,0.7541388243279411,0.7441029979071239,0.7496499840890908,0.7758233077768759,0.7873308376669882,0.7957091062926382,0.745211913017587,0.7301316223420175,0.7149282031281823,0.747934448708107,0.7638781644615512,0.7937458216543175,0.8147756790536657,0.8370315991408538,0.8363779737960199,0.8474533133979181,0.86291133485787,0.8191017105877941,0.7982932588346584
00,Age,Ages 45-54,,,0.8108727098610431,0.8099269115631648,0.8320023730407851,0.8342613962875968,0.8230021930591276,0.7872503884259469,0.7764782018155209,0.7851158783411837,0.7961354778805014,0.7946295590758892,0.8080003287350509,0.7909888471083858,0.7634854700621424,0.7353491847896668,0.7402615641205851,0.7655864416089052,0.7762454226172757,0.8020515811027279,0.8323687660827898,0.8497203283109785,0.8646212831712323,0.8474342660438307,0.8021040362352188,0.7669521623305653
00,Age,Ages 55-64,,,0.8743260401180445,0.8842108572894692,0.8986922367820599,0.9156567016082199,0.900727815117282,0.876136050387751,0.8614486082255685,0.8607297672350714,0.8574872101964083,0.8645547757375848,0.8632102265090217,0.8691835710082388,0.8507277988870777,0.81963223443683,0.8092375428748776,0.8051282125650902,0.8187338998801929,0.8379842745045591,0.862317683907324,0.8842376034969693,0.8780917829757268,0.8827811016288857,0.8169570697344444,0.807593238878025
00,Education,College Graduate,,,0.8338597421604675,0.8468532676983781,0.869010442994397,0.8611875733539276,0.8222075445342735,0.7774192122552948,0.7756328223350192,0.7986387131985889,0.8257951188929274,0.8393082498616825,0.8482666709357177,0.8338998423262803,0.8145475467067488,0.7926576194596473,0.7976253076426586,0.8030967268511429,0.8221127749385362,0.842286715591729,0.867528119554201,0.8723380523903886,0.8683165580465985,0.8667700465175797,0.8132278118118702,0.7940255731287779
00,Education,High School Graduate,,,0.8059757212204612,0.8166429919964169,0.8414788412672626,0.8449950834182779,0.8248507666483271,0.8039300822593344,0.7774213164524403,0.7833223567855251,0.7861215699390812,0.7854923718025005,0.7883140242473935,0.7605052699485415,0.7443869144064842,0.716889564238524,0.7393055332961903,0.7660751318549078,0.7784853079407609,0.7963095445600982,0.8062219538059181,0.8255146611772548,0.8388165205616153,0.8518129758414609,0.8206052401286406,0.7865453879847782
00,Education,Less than High School,,,0.7378352172024947,0.7378460453973892,0.7590642093207821,0.788234044357648,0.7930385445540055,0.7623248296952524,0.7533539834847871,0.7501363319392391,0.771665829499465,0.7670291759906472,0.7416076466154395,0.6978888481205399,0.6740624015887673,0.6749661350281607,0.699603506982653,0.6997368828115776,0.7356981257231802,0.750375039465628,0.8065059219325245,0.8146367995399845,0.8375696069122016,0.8311736970350306,0.7828675153825099,0.7801256435651548
00,Education,Some College,,,0.8131673267744306,0.819405736060994,0.8397613020944741,0.8629587071220008,0.839387580474609,0.8145132229762013,0.8004232883579755,0.7882088670321239,0.7790318868490487,0.7746444572059211,0.8068364648082526,0.7908843725304949,0.7689542164712965,0.735529414782815,0.7520231929496209,0.7694117630480292,0.7721912593659367,0.7866344987112223,0.8157319732460282,0.8627450360048571,0.8729266135759671,0.870836585662142,0.8005644409556192,0.8016516837285451
00,Nativity,Immigrant,,,0.7909778477286834,0.7807393170080444,0.8277048309189157,0.8457970760301893,0.8503610443412951,0.7998140717799626,0.7728410472513527,0.7686666742959019,0.8095659022563515,0.8207433682727064,0.8239483819043603,0.7674712506736743,0.741236121145162,0.7141811774210053,0.7455784557088615,0.7572185599670688,0.7854178206135178,0.7969758676163372,0.8347245663297199,0.8577048726384305,0.874678728820042,0.8796566442758872,0.8135594615323668,0.8028010751968871
00,Nativity,Native-Born,,,0.8073241199470371,0.8200867113778595,0.8389387163490687,0.8440853245650594,0.8149189878871325,0.7879166311464593,0.7786633603655689,0.7886299759004146,0.7940478550495657,0.7947092781214046,0.800907530923114,0.787293038261261,0.7696084252405283,0.7494526755461358,0.7594255948640766,0.7733239282107546,0.7876126550435338,0.8090947286065034,0.8317340708561182,0.8448074551260784,0.8481576542025614,0.849633019736825,0.8077801785580027,0.7875203714617595
00,Race,Asian,,,0.8493624081875314,0.8280783591665625,0.8685292358464678,0.8621870323879075,0.8658297640193515,0.8057156574643706,0.784359847031308,0.801961398052013,0.8580465893919383,0.8812156979902923,0.8912995907170949,0.8813666027472444,0.8832247854298506,0.8628917557192066,0.8694745417919724,0.860636039256062,0.8747735304588318,0.8619961375064208,0.8786366199148729,0.8911968196093095,0.9279510196141603,0.9413211688480665,0.8371897200370242,0.8073940888595205
