fips,name,type,category,year,rne,ose,sjc,ssr,zindex
0,United States,Age,Ages 20-34,1996,0.0028366581609906515,,,,
0,United States,Age,Ages 35-44,1996,0.003112591452304108,,,,
0,United States,Age,Ages 45-54,1996,0.0036454680565789687,,,,
0,United States,Age,Ages 55-64,1996,0.003411021302432334,,,,
0,United States,Race,Asian,1996,0.002921721783574286,,,,
0,United States,Race,Black,1996,0.0021421160224825886,,,,
0,United States,Education,College Graduate,1996,0.0029063742987063914,,,,
0,United States,Education,High School Graduate,1996,0.0030984787472599193,,,,
0,United States,Nativity,Immigrant,1996,0.00360737242247497,,,,
0,United States,Race,Latino,1996,0.003156970123662793,,,,
0,United States,Education,Less than High School,1996,0.003806609228784928,,,,
0,United States,Sex,Men,1996,0.0037790615533223712,,,,
0,United States,Nativity,Native-Born,1996,0.003097676557101158,,,,
0,United States,Veteran Status,Non-Veterans,1996,0.003101941217071245,,,,
0,United States,Education,Some College,1996,0.003187470845446046,,,,
0,United States,Total,Total,1996,0.003156970123662793,0.8111275907193234,7.680162954014273,0.7884499888321765,1.4024708434036537
0,United States,Veteran Status,Veterans,1996,0.003571685748170093,,,,
0,United States,Race,White,1996,0.0033137775096874532,,,,
0,United States,Sex,Women,1996,0.002604017736494407,,,,
0,United States,Age,Ages 20-34,1997,0.0027118780712216857,,,,
0,United States,Age,Ages 35-44,1997,0.0027148670170471178,,,,
0,United States,Age,Ages 45-54,1997,0.002836272026809172,,,,
0,United States,Age,Ages 55-64,1997,0.003115918359726857,,,,
0,United States,Race,Asian,1997,0.0022636467362226755,,,,
0,United States,Race,Black,1997,0.0019067749049552867,,,,
0,United States,Education,College Graduate,1997,0.0025408450022966693,,,,
0,United States,Education,High School Graduate,1997,0.002684841524725654,,,,
0,United States,Nativity,Immigrant,1997,0.0032744762008538,,,,
0,United States,Race,Latino,1997,0.0027944770368079565,,,,
0,United States,Education,Less than High School,1997,0.0035254931202619256,,,,
0,United States,Sex,Men,1997,0.0035553844993471352,,,,
0,United States,Nativity,Native-Born,1997,0.0027283815902619307,,,,
0,United States,Veteran Status,Non-Veterans,1997,0.002746086641251127,,,,
0,United States,Education,Some College,1997,0.002871127944817024,,,,
0,United States,Total,Total,1997,0.0027944770368079565,0.7953697006753253,7.874205806649021,0.7820985568484904,0.20326848559847116
0,United States,Veteran Status,Veterans,1997,0.003183123276713096,,,,
0,United States,Race,White,1997,0.002946212842106737,,,,
0,United States,Sex,Women,1997,0.002114149422733747,,,,
0,United States,Age,Ages 20-34,1998,0.0025642737131087124,0.7777684269324392,,,
0,United States,Age,Ages 35-44,1998,0.003054231874437185,0.795751999083966,,,
0,United States,Age,Ages 45-54,1998,0.002842784369020857,0.810872709861043,,,
0,United States,Age,Ages 55-64,1998,0.003304405390555526,0.8743260401180445,,,
0,United States,Race,Asian,1998,0.0025497948308695613,0.8493624081875315,,,
0,United States,Race,Black,1998,0.0018308145825224476,0.6716339820813956,,,
0,United States,Education,College Graduate,1998,0.002731013165769008,0.8338597421604675,,,
0,United States,Education,High School Graduate,1998,0.0029017331718275037,0.8059757212204611,,,
0,United States,Nativity,Immigrant,1998,0.003138583437750825,0.7909778477286834,,,
0,United States,Race,Latino,1998,0.0028654709263254145,0.8049708590191953,,,
0,United States,Education,Less than High School,1998,0.0030943658494994586,0.7378352172024947,,,
0,United States,Sex,Men,1998,0.0032494143711158914,0.7539967673197462,,,
0,United States,Nativity,Native-Born,1998,0.002826491217353909,0.8073241199470371,,,
0,United States,Veteran Status,Non-Veterans,1998,0.0028930161438204425,0.8083286102565516,,,
0,United States,Education,Some College,1998,0.002870259165644945,0.8131673267744306,,,
0,United States,Total,Total,1998,0.0028654709263254145,0.808415285662937,7.522425694997092,0.7853747531739251,0.5250004232177583
0,United States,Veteran Status,Veterans,1998,0.00265737539920015,0.7751179285937105,,,
0,United States,Race,White,1998,0.00302276880191191,0.8172276965427959,,,
0,United States,Sex,Women,1998,0.0025219366331426913,0.8725484120362186,,,
0,United States,Age,Ages 20-34,1999,0.0025605168132888803,0.7900287116940289,,,
0,United States,Age,Ages 35-44,1999,0.0027216768275975553,0.8089933254697294,,,
0,United States,Age,Ages 45-54,1999,0.002757471611323213,0.8099269115631645,,,
0,United States,Age,Ages 55-64,1999,0.002840888564709954,0.8842108572894692,,,
0,United States,Race,Asian,1999,0.00239831900743801,0.8280783591665625,,,
0,United States,Race,Black,1999,0.002062255015493516,0.7217013191472162,,,
0,United States,Education,College Graduate,1999,0.00248780795778005,0.8468532676983781,,,
0,United States,Education,High School Graduate,1999,0.0027393555776298864,0.8166429919964169,,,
0,United States,Nativity,Immigrant,1999,0.00323273906301508,0.7807393170080444,,,
0,United States,Race,Latino,1999,0.002686524565566423,0.8142598066702043,,,
0,United States,Education,Less than High School,1999,0.003124434667566359,0.7378460453973892,,,
0,United States,Sex,Men,1999,0.003191710381118607,0.7699725707476559,,,
0,United States,Nativity,Native-Born,1999,0.0026109233242669998,0.8200867113778595,,,
0,United States,Veteran Status,Non-Veterans,1999,0.002648643427596037,0.8130100099727713,,,
0,United States,Education,Some College,1999,0.002662935176232211,0.819405736060994,,,
0,United States,Total,Total,1999,0.002689452026804821,0.839230236056743,7.300701596481264,0.8013591055406099,1.092312284976158
0,United States,Veteran Status,Veterans,1999,0.0029952126932484315,0.8178660265011269,,,
0,United States,Race,White,1999,0.0028169696014473306,0.8244284001913469,,,
0,United States,Sex,Women,1999,0.0022423327197053605,0.873068889109884,,,
0,United States,Age,Ages 20-34,2000,0.0022396960344826127,0.8149587925740098,,,
