region,demographic-type,demographic,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,,,7.680162954014273,7.874205806649021,7.522425694997092,7.300701596481264,7.633412233637314,6.904415254637123,6.593323694006178,6.447465881603451,6.332699622122274,6.598590423003617,6.676722928988597,6.234712594037443,5.698988450168722,4.732443733394829,4.469263397798976,4.69736706884535,4.97686350223093,4.9065058145222915,4.937442736593534,5.1419594300703695,5.239670312727504,5.261929516193026,5.153665184147955,5.128453102218285,5.032765116857544
1,,,6.131234036972577,6.507193902839671,5.954320168383734,6.5408753355705835,4.982735396850033,5.397487797791851,5.100568314602679,5.050082258407977,5.624039751660273,5.457125632275337,5.409613908547043,5.786416825741947,4.767490016332479,3.771381636330696,3.569997891519625,3.7169709374880835,3.830684850946551,3.9094582471805337,3.796522738758879,3.6835782766566365,4.2543217111046,4.344868361505193,4.172121707615534,4.665538828333012,4.138345539559633
10,,,7.845047821997174,8.568345160994136,7.1619930960849425,6.948476754538768,8.485794909031718,10.265188218157872,7.433925144727718,6.918067537649617,7.814126814660034,7.302845648701414,9.339344651494063,7.231439324851534,7.0168372415072735,6.2272212440985495,4.415330043697539,5.504854080039146,5.365070658308375,5.205852035999203,5.0896151903458176,5.030533799662577,6.190188645840907,5.192182880219225,6.512829383135211,4.92829884859165,6.284904170918587
11,,,12.329286466786751,10.106810207561262,6.639774958866302,9.605182624738475,21.961520577016532,13.115661509754501,9.260971669243036,10.385187739005316,11.610662364333848,8.750987417480111,10.771341607658218,9.507245771269002,8.589608366250975,8.383595507135766,9.70546539639738,8.793159083575347,9.779123170647196,10.699666913113047,10.334758609027551,7.978975421972165,11.749524288620108,9.709226859460129,11.327822654790056,9.385773128973614,7.788826288972189
12,,,9.967845659163986,10.012772034591169,9.677747006291069,9.8157159454018,10.298728494723326,8.91326667794015,8.481326736719241,8.855225082678663,8.880056051804509,9.774892307706104,9.76727570169852,8.329884370738815,7.744029690232875,6.496022762242179,6.177749140287167,6.606436481108171,7.000893675980636,6.993382302869784,6.890537803983904,6.987515786250531,6.844066141777052,6.457045357591747,6.284739584708701,6.332510729598747,6.167766790445929
13,,,7.825951207754521,7.330809921902112,8.694434666541872,8.281418077259843,7.599817339898628,7.924877504435338,7.764811025902371,6.7083832349912615,6.007695981367624,6.8643889113079855,6.552886128189818,6.611987095598412,5.78978527051946,4.934181463875422,4.123094177121816,4.09786103059537,4.450266274669416,4.295220877376629,4.155741005662106,5.064525069492428,5.155947112617199,6.068203409498066,5.803466820078639,5.795379914693047,5.383651585240248
15,,,7.8670493580504335,7.1828265821531145,7.8182537834308325,6.4033710650252,7.482371516226775,6.883652487707471,7.109476909325733,5.877773639376128,5.643196403178783,5.393241738987831,5.1850341787741145,4.965511999543961,4.3679201449017535,4.205040851195908,3.0580008401987446,3.502427629666309,2.9674420205276153,3.5668560042549475,3.2667909946569127,3.402829151114024,4.043265462233085,5.146753740014168,3.903299537587472,4.440373141074899,3.239502887692021
16,,,6.605529294321339,6.616090906130954,7.539546285723412,6.716449500420954,7.49020724471499,7.65703861171761,5.811819405359109,6.517625313558948,6.703539727633673,8.229003368479129,9.132758981091042,8.750884489786428,7.106079566192189,6.040764545922999,4.378811087215883,4.611373120947528,4.377794103266797,4.470564285386226,5.479697286268508,5.916202873428508,6.213221745384514,5.948018152021727,6.0301530502657466,6.777033851594654,6.431614422799553
17,,,7.888202252900906,5.908475620839647,6.1477298405040415,6.05695273573471,5.541990328096926,5.350065600641233,5.158493563080154,5.111259105801638,5.401447667086611,5.096867121023849,5.681529236698486,5.13206424831516,4.563099286281252,4.036250374899057,4.261982571866538,3.9231537178994387,4.257555398753814,3.915742137980938,4.2911273264691125,4.7913847772358364,5.326068109368671,5.396739043674428,4.415207617720596,4.672414485652851,4.233078292564149
18,,,5.760739097594265,6.275453308810503,5.383004827567812,5.527240917199079,5.29755578996649,5.30112145384284,5.196746506275944,5.310944418570199,5.228455543207316,5.359779926021913,5.474626891126001,4.859866584090944,4.464103663207886,4.459444291779714,3.332751964738249,4.150983468497334,3.871390303291538,3.8834091244357913,3.195046623687903,3.549561453551241,3.4843142551200548,3.364033884853857,3.7096574010861327,3.5771266502174095,3.4993581746608746
19,,,5.125,4.790532662266755,5.501103734508446,4.117034556082086,4.462171742742655,5.371765387208787,4.106011994953368,4.870837821494841,4.971839783859549,4.973259831321383,4.769593689357497,4.766585356420286,4.164437434656155,3.693531209712253,3.3529514921765013,2.8167167590244517,3.894102769984949,3.4979018731670286,3.822020679563253,3.5940864349430943,3.6258878299632973,3.5947223504321113,3.8248526813986325,3.5495250501573654,3.448645371465889
2,,,6.2852363495347285,6.948160425992874,6.179710032713265,5.4499270942205165,6.623001673665487,5.846485954231719,6.203908540221099,5.442510494838174,5.395230597949904,4.6885355036239815,4.178871082863667,5.252094664118771,4.413379784858645,3.9204744632598603,3.592889860066395,4.044989253982673,3.5581147331140146,3.5369870893865967,3.2256618718617704,3.01560139824108,3.553818432921171,3.4838448019467347,4.1706398381802625,3.426993554736893,3.7447446379578695
20,,,7.895036782564063,8.971301851938989,8.289113951074157,7.76899704219557,9.060464100983005,8.644929504596691,6.836469770981395,7.533591577537162,7.383411114723558,6.675775571258359,6.405516460599269,6.147026440619516,4.912260209481509,4.463932694697363,4.10329614196397,4.190330141414494,5.126406417175316,4.238196163986601,4.639240124462373,4.5207804301874415,5.368889572921118,4.842339477391758,3.9545105911019562,3.9106666840580866,3.9865399366120933
21,,,6.196653429552231,6.478532524343198,5.909082925384968,6.53052610306534,5.5939448078930685,5.262120304847532,5.384272135456462,5.007080105995137,5.336338888029983,5.163120268952759,5.337929422817717,5.099758684718955,4.582181591178117,4.039309958550629,3.251474582129861,3.506093270182005,3.4447806898954165,3.7340007478444988,4.162335148399005,4.0336865812196,3.9227773894806477,4.124190188012042,4.237693708330559,4.050430727584584,3.7062920975393157
