region,demographic-type,demographic,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
00,,,7.657378506219531,7.846283247096956,7.508443666293977,7.2885277219299835,7.607629210398262,6.885476349520248,6.5790446944611,6.433157413864997,6.313225930768507,6.58304814884527,6.654636991782476,6.221613021654825,5.6824771064349235,4.718469164066396,4.453338228173127,4.6814726995880696,4.948883473872354,4.861065037322024,4.901624439719023,5.112496036499902,5.2125353513536705,5.236577618919838,5.137561109202032,5.120800154221526,5.012675527312131,4.732041575534965
01,,,6.130541372611405,6.480865672222686,5.940925388579156,6.534103542076878,4.973301801165409,5.3824910455959465,5.092309550100456,5.0389797603681235,5.623819036627439,5.456906804557306,5.400108576812046,5.751534398781041,4.76176750230914,3.7657069091694764,3.554534308987873,3.7100946037658553,3.8043121629175918,3.8589414960121786,3.7833045114016506,3.676777443987415,4.246302835906056,4.340355065128918,4.15759539135226,4.631071436219518,4.137126406980591,3.458814570276219
02,,,6.278663553352208,6.948160425992874,6.179710032713265,5.4499270942205165,6.619816772644248,5.846485954231719,6.191454018684896,5.437883821138964,5.395230597949904,4.673541785991669,4.178871082863667,5.252094664118771,4.4119251441912555,3.9176128030677,3.5914891232788446,3.9688254713845743,3.554007636461709,3.5329169086163015,3.2107219642447267,3.004753911197047,3.552469735223668,3.429768825199405,4.169279551214124,3.426993554736893,3.536855235120179,3.555474270240612
04,,,9.930149511439,7.930774605815086,7.889269275016987,6.933564339348739,7.830312293991418,7.367435185552151,6.864575525063215,6.410828758317963,6.184625161258819,7.209872382227533,10.122171632741713,7.574970235976862,6.744674908866718,5.635682185865265,4.801338250323232,4.46679972926052,4.58781097358374,4.523905870915956,4.175375270432885,4.651025905182032,4.8146741598415925,5.079920408948996,4.730355751810834,4.369176600766316,4.706119504929056,4.71461107516496
05,,,6.512554483499727,6.068225244032309,5.22600521115536,5.334746178154201,5.838897210022593,5.817791914090321,5.429193027010706,5.522941732579374,5.381341724109589,5.618286596979536,6.620688286499105,5.591771540905341,5.347960066152871,5.101070372125794,4.230031581497924,4.467353835031305,4.740590292409229,4.3995404473879836,3.781098014687645,4.097650541562796,4.081048376577551,3.923241080249022,4.323639339436421,4.222275535455583,4.14549044686031,3.918184759464237
06,,,9.405995233930131,9.606350549051731,9.481329011517179,8.765163494631096,9.994504821513797,8.657734701050115,8.02008084287372,7.8973631838213425,7.848526430785851,8.275384383635979,7.797740897152739,6.755279975391107,6.303788537407466,5.157079598191933,4.869571946592428,5.18343395804425,5.664632346740872,5.721732801784762,6.251552582933189,6.455951217487929,6.34996954205233,6.705261128238712,6.4291888101411425,6.360057241021342,6.419388825636852,5.729724748327099
08,,,8.430162256261013,8.88511614260085,8.238273990019527,6.967788589636863,8.562901887970684,7.931875887291623,7.000257883140188,6.920480169725212,7.150799352919871,8.161466771217267,7.855016383065671,7.367604605288904,7.089553001903991,5.555494102705143,5.201146185849245,5.522437722461623,5.381455739240507,5.689846432980612,5.887552403216313,6.389728293444621,6.3527052118395835,6.873448048204836,6.423678862092177,6.576443163916526,6.5664333966571045,6.085096374458045
09,,,5.934932425446214,6.456181919585544,5.480258825822678,5.521200826482157,5.069205871309878,4.862162032256138,4.628552115230102,4.6525363799587645,3.9109360331844623,4.366179672627772,4.401755812432835,4.546575680342021,4.331027457010547,3.5532526046470236,3.0694747359262657,3.6451974384406136,4.024151026541036,4.116454663780679,4.0033117041366255,3.70241101362039,3.8726813728134246,3.8992000944785725,3.9882179016217183,3.749207286818705,4.024170889787648,3.9779820096366842
10,,,7.843698252442384,8.552376820889783,7.1619930960849425,6.929121666086014,8.485794909031718,10.265188218157872,7.432684710029783,6.842273194597086,7.814126814660034,7.302845648701414,9.33585330769911,7.231439324851534,7.0168372415072735,6.159936303589651,4.414218429889962,5.503752007150249,5.31043653755167,5.191776312940137,5.035995139878626,4.957227182518603,6.181758017790733,5.188002378705361,6.511793627826187,4.926244962845207,6.166340193492358,4.740956602855936
11,,,12.329286466786751,10.106810207561262,6.639774958866302,9.605182624738475,21.95452813235299,13.113920877835488,9.253992790818588,10.31306837970667,11.596571754668394,8.738644698978728,10.759075560602158,9.505504836317296,8.58271461956859,8.371775735020972,9.697204019655468,8.765730880929333,9.739748379333589,10.662776810266516,10.287954004662343,7.903464613562334,11.73494309689931,9.702031641689668,11.320695548551985,9.382939260275254,7.73130793921573,6.462204313110962
